Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
479		0.0104		0.4626		0.9913		0.8470		0.00003007
480		0.0099		0.5099		0.9916		0.8358		0.00002883
481		0.0100		0.4769		0.9916		0.8450		0.00002759
482		0.0094		0.4375		0.9921		0.8558		0.00002635
483		0.0094		0.4188		0.9919		0.8540		0.00002510
484		0.0097		0.4452		0.9916		0.8538		0.00002384
485		0.0095		0.4429		0.9919		0.8558		0.00002257
486		0.0091		0.4363		0.9922		0.8559		0.00002130
487		0.0097		0.4339		0.9917		0.8577		0.00002002
488		0.0096		0.4422		0.9918		0.8538		0.00001873
489		0.0093		0.4244		0.9921		0.8607		0.00001742
490		0.0094		0.4121		0.9920		0.8625		0.00001611
